Weeks,Location,Day,Start Time,End Time
27,ART 103,Mon,17:00,18:30
3,ART 202,Fri,11:00,12:00
35,LIB L317,Sat,17:30,21:30
16-17,LIB L302,Sat,15:00,18:30
34-36,ART 104,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
14,FIP 138,Sun,12:30,17:30
34,ART 386,Wed,17:30,21:30
15-Mar,LIB L306,Thu,14:00,15:00
27,FIP 239,Fri,8:00,9:00
38,ART 203,Sat,16:30,17:30
18,ART 219,Mon;Tue,7:00,22:00
15-Mar,LIB L312,Tue;Thu,9:30,11:00
9,ART 106,Fri,12:30,14:30
20-25;27-33,ART 365,Mon;Wed;Fri,11:30,12:30
1,ART 376,Thu;Fri;Sat;Sun,7:00,22:00
2,EME 0050,Thu,9:00,10:00
15-Mar,EME 2205,Tue,14:30,15:30
15-Mar,EME 2202,Fri,8:00,11:00
20-25;27-33,ART 281,Mon;Wed;Fri,12:30,13:30
15-Mar,EME 1202,Tue;Thu,8:00,9:30
15-Mar,EME 2141,Mon;Wed,11:00,12:30
28,ART 382,Thu,14:00,17:00
6,ART 203,Sun,8:00,19:00
14,ART 102,Sat,7:00,16:00
10,ART 382,Sun,9:00,11:00
5,FIP 140,Sat,7:00,20:00
1,ART 281,Thu;Fri;Sat;Sun,7:00,22:00
20-25;27-33,ASC 130,Mon;Wed;Fri,9:30,10:30
15-Mar,ART 108,Mon;Wed,12:30,14:00
20-25;27-33,FIP 250,Wed;Fri,12:30,14:00
1,ART 214,Thu;Fri;Sat;Sun,7:00,22:00
28,ART 204,Fri,16:30,20:00
45;52,SCI 337,Mon;Tue;Wed;Thu;Fri,7:00,22:00
2,ART 102,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
20-25;27-33,ART 215,Tue,18:30,21:30
15-Mar,EME 1121,Tue;Thu,9:30,11:00
52,ART 386,Mon;Tue;Wed;Thu;Fri,7:00,22:00
12,ART 382,Wed,15:30,17:00
27,FIP 139,Sat,13:00,16:00
2,ART 114,Mon;Tue;Wed;Thu;Fri,8:00,20:00
32,ART 108,Wed,10:30,12:30
36,SCI 396,Tue,17:30,21:30
1,ART 386,Thu;Fri;Sat;Sun,7:00,22:00
18,ART 365,Mon,8:30,13:30
34-36,ART 110,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
1,ART 103,Thu;Fri;Sat;Sun,7:00,22:00
6,ART 103,Mon,13:00,14:00
20-25;27-33,ART 365,Tue;Thu,11:00,12:30
26,EME 1202,Wed,7:00,16:30
15-May,ART 110,Tue,16:30,18:00
35,ART 203,Wed,8:30,12:30
10,LIB L312,Wed,19:30,21:00
5,FIP 124,Sat,7:00,20:00
16,ART 210,Mon;Wed;Thu;Sat,7:00,22:00
52,ART 376,Mon;Tue;Wed;Thu;Fri,7:00,22:00
25,FIP 124,Tue,17:30,20:00
28,ART 110,Fri,16:30,20:00
31,ART 210,Sat;Sun,7:00,22:00
15,ART 110,Fri,11:00,12:30
26,ART 204,Wed,10:00,14:00
27,ART 382,Thu,18:00,21:00
20-25;27-33,EME 1101,Mon;Wed;Fri,11:30,12:30
20-25;27-33,FIP 129,Fri,15:30,16:30
14,ART 386,Sat,17:00,22:00
20-25;27-33,FIP 139,Tue;Thu,8:00,11:00
2,ART 103,Mon,7:00,22:00
20-29,EME 2202,Tue,12:30,15:30
38,ART 206,Sat,12:00,12:30
25,FIP 138,Thu,18:30,19:30
14,EME 1101,Sat,8:30,15:00
17,ART 365,Mon;Tue;Wed;Thu;Fri;Sat,17:00,19:00
18,ART 106,Mon,8:30,13:30
1,ART 365,Thu;Fri;Sat;Sun,7:00,22:00
2,ART 218,Mon,7:00,22:00
20-25;27-33,ART 366,Mon;Wed;Fri,14:30,15:30
34,LIB L306,Mon,17:30,21:30
3,EME 0050,Sat,8:00,13:00
23-33,ART 112,Tue,14:00,15:00
10,LIB L317,Wed,19:30,21:00
20-25;27-33,FIP 204,Mon;Wed;Fri,15:30,16:30
18,SCI 396,Mon,12:30,17:30
21,ART 112,Tue,15:00,20:00
34,ART 204,Mon;Tue;Wed;Thu;Fri,9:00,18:00
17,FIP 124,Mon;Tue;Wed;Thu;Fri;Sat,7:00,14:00
35,FIP 121,Thu,12:30,16:30
15-Mar,ART 386,Mon;Wed;Fri,9:30,10:30
15-Mar,FIP 140,Mon;Wed;Fri,11:30,12:30
17,LIB L317,Mon;Tue;Fri,8:30,12:30
15-Mar,EME 2202,Tue,11:30,13:30
20-25;27-33,SCI 337,Mon;Wed,15:30,17:00
15-Mar,FIP 204,Mon;Wed;Fri,10:30,11:30
20-25;27-33,FIP 239,Tue;Thu,14:00,15:30
51-52,LIB L305,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
24,EME 1153,Tue,14:30,15:30
34-36,ART 219,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
38,ART 365,Sat,14:00,16:30
20-33,ART 218,Mon;Tue;Wed;Thu;Fri;Sat;Sun,18:30,22:00
27,FIP 140,Thu,17:00,21:00
35,FIP 204,Sat,12:30,16:30
24,ART 104,Tue,12:30,15:00
1,ART 202,Thu;Fri;Sat;Sun,7:00,22:00
36,ART 215,Mon,8:30,12:30
34-36,ART 110,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,LIB L317,Tue,9:30,12:30
35,EME 2205,Tue,8:30,12:30
16,EME 0050,Thu;Fri,8:30,12:30
16,ART 281,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
34-36,ART 104,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
5,FIP 124,Sat,7:00,20:00
28,LIB 303,Thu,9:30,11:30
44,EME 1202,Sun,7:00,22:00
20-25;27-33,ART 106,Mon;Wed,8:00,9:30
34,SCI 396,Thu,8:30,12:30
15-Mar,SCI 234,Wed,17:30,19:30
22,ART 206,Sat,7:00,18:00
15-Apr,ART 374,Tue,12:00,13:00
4;6;8;10;12;14,ART 219,Wed,9:30,12:30
17,EME 1101,Mon,9:00,17:00
7,SCI 333,Wed,15:30,17:00
17,ASC 140,Wed,12:30,21:30
14,ART 114,Sat,7:00,16:00
15-Mar,ART 202,Mon;Wed;Fri,12:30,13:30
1,ART 218,Thu;Fri;Sat;Sun,7:00,22:00
2,ART 376,Mon,7:00,22:00
5,FIP 250,Sat,7:00,20:00
28,ART 210,Thu,17:00,21:00
38,ART 206,Sat,10:00,12:00
15-Mar,ASC 130,Tue;Thu,8:00,9:30
17,ASC 165,Fri,12:30,16:30
10,FIP 121,Sat,7:30,18:00
12,ART 208,Mon,9:30,11:30
15-Mar,FIP 140,Fri,10:30,11:30
34-36,ART 104,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
21,FIP 250,Tue,10:30,13:00
34-36,ART 219,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
23,FIP 250,Thu,16:30,18:30
1,ART 219,Thu;Fri;Sat;Sun,7:00,22:00
21-26;28-33,ASC 130,Mon,19:00,20:30
20,SCI 247,Wed,10:00,12:00
26,EME 1101,Wed,7:00,16:30
28,ART 103,Fri,16:30,20:00
34-36,SCI 236,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
14-Oct,ART 386,Sat,10:00,16:00
36,FIP 121,Wed,12:30,16:30
35,LIB 303,Sat,17:30,21:30
34-36,ART 108,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
34-36,ART 219,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
16,ASC 140,Mon;Tue;Thu,8:30,21:30
37-50,LIB L306,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
22,EME 2111,Sun,7:00,20:00
46-51,ART 386,Tue;Wed;Fri,14:30,17:00
20-25;27-33,EME 2181,Tue;Thu,11:00,12:30
15-Mar,EME 0050,Wed;Fri,12:30,13:30
34,FIP 121,Thu,8:30,12:30
26,EME 2181,Fri,7:00,16:00
38,ART 110,Sat,16:30,17:30
20-25;27-33,EME 2181,Tue;Thu,12:30,14:00
11,ART 202,Mon,10:30,12:00
35,ART 376,Tue,8:30,12:30
34-36,ART 202,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
37-52,LIB 303,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
16,FIP 140,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
20-25;27-33,ART 366,Mon;Wed,15:30,17:00
26,ART 106,Fri,9:00,16:30
35,ASC 140,Fri,12:30,16:30
34,FIP 133,Tue,12:30,16:30
2,ART 214,Mon,7:00,22:00
13,FIP 204,Mon,18:00,20:00
11,ART 203,Wed,8:00,10:00
15-Mar,FIP 204,Wed;Fri,15:30,17:00
36,FIP 204,Fri,8:30,12:30
14,ART 114,Sat,7:00,16:00
15-Mar,ASC 165,Mon,17:00,20:00
20-32,FIP 139,Mon;Tue;Wed;Thu;Sun,18:30,22:00
28,ART 104,Wed,9:30,11:30
36,ART 366,Fri,8:30,12:30
13,EME 2202,Sat,8:30,16:30
34,ASC 130,Tue,12:30,16:30
16,ART 106,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
27,FIP 138,Mon,18:00,21:00
12,ART 218,Mon,12:30,14:00
12,EME 1202,Tue,14:00,15:30
20-25;27-33,EME 0050,Mon;Wed;Fri,14:30,15:30
34,ART 214,Tue,8:30,12:30
20-25;27-33,ART 108,Tue;Thu,14:00,15:30
14,ART 206,Sat,7:00,16:00
18,ART 204,Mon,12:30,17:30
1,ART 210,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
7,ART 382,Fri,12:30,15:00
30,ART 202,Tue,12:30,17:00
10,EME 1151,Sat,11:00,20:00
14,LIB L306,Sat,8:00,22:00
34,EME 1121,Thu,17:30,21:30
14,ART 208,Sat,7:00,16:00
22,ART 112,Sat,7:00,18:00
15-Mar,EME 1121,Mon,9:30,12:30
52,ART 386,Mon;Tue;Wed;Thu;Fri,7:00,22:00
36,EME 0050,Tue,8:30,12:30
20-25;27-33,LIB L312,Mon;Wed,14:00,15:30
15-Mar,EME 1121,Tue;Thu,14:00,15:30
10,LIB L302,Wed,19:30,21:00
15-Mar,ART 114,Mon;Wed,12:30,14:00
32,ART 106,Mon,15:00,17:00
20-25;27-33,LIB L312,Mon,8:30,11:30
9,ART 112,Fri,10:30,15:00
5,ART 106,Mon,20:00,22:00
15-Mar,EME 1202,Mon;Wed;Fri,11:30,12:30
29,FIP 124,Sat,12:00,17:00
1,ART 386,Thu;Fri;Sat;Sun,7:00,22:00
34-36,ART 106,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,LIB L317,Mon;Wed;Fri,10:30,11:30
45,ART 374,Mon;Tue;Wed;Thu;Fri,7:00,22:00
1,ART 214,Thu;Fri;Sat;Sun,7:00,22:00
35,SCI 333,Wed,8:30,12:30
15-Mar,LIB L305,Mon,14:00,15:30
16,ART 365,Tue;Wed;Thu;Fri;Sat,7:00,22:00
38,ART 206,Sat,10:00,12:00
15-Mar,EME 2111,Sat,9:00,16:00
34-36,ART 110,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
51-52,LIB L304,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
26,EME 1202,Wed,7:00,16:30
45,ART 374,Mon;Tue;Wed;Thu;Fri,7:00,22:00
31,EME 1153,Sat,10:00,22:00
21-33,EME 2141,Tue;Thu,11:00,12:30
16,ART 281,Mon;Tue;Wed;Thu;Fri,7:00,15:00
23,ART 374,Fri,12:00,13:00
15-Mar,ART 112,Mon,9:30,12:30
15-Mar,ASC 140,Mon;Wed,15:30,17:00
26,EME 1202,Wed,7:00,16:30
25,SCI 337,Thu,14:00,15:00
34-36,ART 110,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,ART 366,Mon;Wed;Fri,11:30,12:30
29,ART 110,Sat,9:00,15:00
17,EME 0050,Tue,17:30,21:00
15-Mar,ART 366,Mon;Wed;Fri,9:30,10:30
15-Mar,ART 106,Tue;Thu,14:00,15:30
42,ART 112,Mon;Tue;Wed;Thu;Fri,7:00,22:00
35,ART 386,Fri,17:30,21:30
11,SCI 396,Thu,17:30,18:30
27,ART 219,Wed,18:00,21:00
17,ART 210,Mon;Tue;Wed;Thu;Fri;Sat,15:00,22:00
42,ART 112,Mon;Tue;Wed;Thu;Fri,7:00,22:00
31,EME 2111,Sun,9:00,13:00
36,SCI 396,Mon,17:30,21:30
26,FIP 239,Wed,7:00,16:30
1,ART 102,Wed;Thu;Fri;Sat;Sun,7:00,22:00
2,ART 219,Mon,7:00,22:00
1,ART 281,Thu;Fri;Sat;Sun,7:00,22:00
9,ART 202,Mon,11:00,12:30
27,EME 1121,Sun,12:00,15:00
27,FIP 121,Sat,7:00,22:00
15-Mar,ART 376,Tue;Thu,17:00,18:30
35,ART 215,Fri,12:30,16:30
15-Mar,EME 2205,Fri,10:30,11:30
20-25;27-33,ASC 140,Mon;Wed;Fri,12:30,13:30
20-25;27-33,EME 1121,Wed,9:30,11:00
35,FIP 140,Tue,12:30,16:30
35,EME 0050,Wed,8:30,12:30
52,ART 376,Mon;Tue;Wed;Thu;Fri,7:00,22:00
15-Mar,SCI 247,Mon;Wed;Fri,9:30,10:30
20-29,EME 2202,Tue,8:30,11:30
6,ART 281,Fri,13:00,15:00
24,LIB L312,Fri,11:30,13:30
11,FIP 139,Thu,7:30,9:30
16,LIB 303,Mon;Tue;Wed;Thu;Fri;Sat;Sun,17:00,19:00
7,SCI 247,Thu,15:30,17:30
38,ART 204,Sat,10:00,12:00
37-52,LIB L317,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
10,EME 2141,Fri,15:30,22:00
35,EME 2111,Wed,12:30,16:30
20-25;27-33,ASC 140,Mon;Wed;Fri,11:30,12:30
17,EME 1101,Mon;Thu,17:30,21:30
25,FIP 129,Mon,8:00,10:30
15-Mar,SCI 247,Tue;Thu,9:30,11:00
16,ART 104,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
20-25;27-33,SCI 333,Mon;Wed,8:00,9:30
34,FIP 204,Wed,17:30,21:30
36,SCI 247,Fri,8:30,12:30
1,ART 208,Thu;Fri;Sat;Sun,7:00,22:00
25,FIP 138,Mon,10:30,11:30
11,ART 281,Mon,18:30,21:00
31,EME 1153,Sat,10:00,22:00
39-44,ART 210,Mon,12:00,13:00
15-May,FIP 250,Wed,15:30,17:00
10,ART 106,Fri,12:30,14:00
6,ART 112,Fri,13:00,14:30
18,ART 382,Mon,16:30,21:00
34-36,EME 1153,Mon;Tue;Wed;Thu;Fri,7:00,22:00
4,ART 106,Fri,12:30,13:30
45;52,SCI 333,Mon;Tue;Wed;Thu;Fri,7:00,22:00
20-25;27-33,EME 2202,Sat,9:00,16:00
20-25;27-33,SCI 234,Tue,17:00,19:00
34-36,ART 202,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
14,SCI 337,Wed,9:30,11:30
20-25;27-33,EME 2111,Mon;Wed;Fri,10:30,11:30
15-Mar,EME 2111,Tue;Thu,12:30,14:00
20-25;27-33,ASC 140,Mon;Wed,8:00,9:30
29,ART 110,Sat,9:00,15:00
20-25;27-33,FIP 124,Tue;Thu,12:30,14:00
49,EME 2111,Mon;Tue;Wed;Thu;Fri,13:00,16:00
20-25;27-33,ART 210,Mon;Wed;Fri,10:30,11:30
16,ART 366,Mon;Wed;Thu,8:30,12:30
34-36,ART 202,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
5,FIP 138,Sat,7:00,20:00
2,EME 1151,Thu,13:00,15:00
15-Mar,FIP 204,Mon;Wed;Fri,9:30,10:30
38,ART 204,Sat,14:00,16:30
15-Mar,ART 106,Mon;Wed;Fri,9:30,10:30
8,EME 2111,Thu,14:00,16:30
6,ART 106,Mon,18:00,20:00
27-28;30;32,ART 382,Mon,13:00,14:00
28,ART 382,Wed,12:30,14:00
34,EME 2205,Tue,12:30,16:30
51-52,LIB L306,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
44,EME 1202,Thu;Fri;Sat,7:00,22:00
48,EME 2202,Mon;Tue;Wed;Thu;Fri,9:00,16:00
16,EME 1151,Fri,12:30,14:30
46-51,ASC 165,Mon,11:00,12:30
15-Mar,ART 365,Mon;Wed,12:30,14:00
20-25;27-33,EME 2181,Tue;Thu,9:30,11:00
36,FIP 138,Mon;Tue;Wed;Thu;Fri,9:00,16:00
35,EME 2205,Fri,8:30,12:30
15-Apr,EME 1202,Fri,18:00,19:00
15-Mar,SCI 126,Thu,17:30,18:30
17,ART 106,Mon;Tue;Wed;Thu;Fri;Sat,15:00,22:00
9,LIB 303,Mon,19:00,21:30
15-Mar,SCI 236,Tue,8:30,10:30
25,SCI 337,Fri,14:00,16:00
15-Mar,ART 376,Wed,15:30,18:30
34-36,ART 281,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
7,ART 218,Thu,15:30,18:30
20-25;27-33,SCI 128,Fri,8:30,12:30
45,ART 376,Mon;Tue;Wed;Thu;Fri,7:00,22:00
41,EME 2141,Fri,8:30,12:00
20-25;27-33,ART 202,Thu,12:30,15:30
15-Mar,ART 366,Mon;Wed,14:00,15:30
12,FIP 129,Wed,13:30,15:30
20-25;27-33,SCI 396,Mon;Wed;Fri,9:30,10:30
11,ART 203,Fri,16:00,17:00
25,ART 210,Fri,13:30,16:00
39,EME 1153,Fri,8:00,17:00
27,FIP 138,Tue,18:30,21:30
20-25;27-33,ART 103,Tue;Thu,12:30,14:00
9,FIP 239,Tue,11:00,14:00
16,ART 106,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
12,ART 382,Sat,8:00,10:00
37-50,LIB L304,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
41,EME 1153,Fri,13:00,16:00
17,ART 281,Mon;Tue;Wed;Thu;Fri;Sat,7:00,14:00
38,ART 112,Sat,12:00,12:30
38,ART 110,Sat,16:30,17:30
26,FIP 124,Wed,7:00,16:30
16,ART 112,Mon;Wed;Thu;Fri;Sat,17:00,22:00
22,ART 108,Sat,7:00,18:00
27,ART 203,Thu,18:00,21:00
35,EME 1202,Wed,12:30,16:30
8,FIP 124,Tue,11:30,12:30
16,ART 204,Tue,14:30,16:30
27,ART 112,Mon,18:00,21:00
3,LIB L312,Tue,12:00,15:30
35,SCI 126,Tue,8:30,12:30
20-25;27-33,ART 386,Mon;Wed;Fri,9:30,10:30
20-33,LIB L305,Fri,17:30,21:30
15-Apr,ART 218,Mon;Tue;Wed;Thu;Fri;Sat;Sun,18:30,22:00
13,ART 102,Fri,8:30,10:00
2,EME 2181,Tue,8:30,17:00
20,EME 2141,Sat,7:00,15:00
16-18,FIP 139,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
6,ART 114,Wed,17:00,18:00
31,EME 1153,Sat,10:00,22:00
34-36,ART 102,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
35,ASC 140,Wed,8:30,12:30
9,ART 203,Mon,18:30,21:00
16,ART 102,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
1,ART 204,Thu;Fri;Sat;Sun,7:00,22:00
14,FIP 139,Thu,13:00,14:30
24,ART 214,Tue,17:00,18:00
1,ART 376,Thu;Fri;Sat;Sun,7:00,22:00
15,ART 219,Sat,9:00,17:00
35,FIP 140,Fri,12:30,16:30
15-Mar,LIB L305,Tue;Thu,11:00,12:30
4,SCI 234,Fri,7:00,10:30
26,FIP 140,Wed,7:00,16:30
34,ASC 130,Wed,12:30,16:30
16,EME 1121,Thu,15:30,18:30
1,ART 386,Thu;Fri;Sat;Sun,7:00,22:00
34,ART 214,Mon,8:30,12:30
20-25;27-33,FIP 140,Tue;Thu,12:30,14:00
24,FIP 139,Fri,8:00,10:00
5,FIP 204,Sat,7:00,22:00
22,EME 1101,Sun,7:00,20:00
46,SCI 128,Mon;Tue;Wed;Thu;Fri,13:00,16:00
7,ART 203,Wed,8:30,10:30
17,EME 1121,Mon,12:30,18:00
1,FIP 204,Thu,10:00,12:00
15-Mar,ART 376,Mon;Wed;Fri,11:30,12:30
8,ASC 140,Tue,18:30,21:00
5,ART 112,Wed,15:30,18:30
20-25;27-33,SCI 337,Tue;Thu,11:00,12:30
20-25;27-33,LIB L305,Wed;Fri,14:00,15:30
8,FIP 124,Thu,18:30,20:30
16,ART 106,Fri,12:30,14:30
13,ART 102,Thu,12:30,13:30
34,ART 376,Tue,8:30,12:30
20-29,EME 2202,Tue,12:30,15:30
1,ART 214,Thu;Fri;Sat;Sun,7:00,22:00
1,ART 214,Thu;Fri;Sat;Sun,7:00,22:00
22,EME 1153,Sat,8:00,16:30
14,ART 203,Sat,7:00,16:00
15-Mar,SCI 128,Wed,14:00,17:00
13,EME 1101,Tue,16:00,19:00
45;52,SCI 337,Mon;Tue;Wed;Thu;Fri,7:00,22:00
15-May,ART 204,Fri,9:30,11:00
34-36,ART 281,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
34,EME 2205,Tue,12:30,16:30
24,FIP 124,Wed,10:30,12:00
22,ART 102,Sat,7:00,18:00
35,FIP 133,Fri,12:30,16:30
35,FIP 204,Thu,17:30,21:30
38,ART 203,Sat,14:00,16:30
26,ART 103,Wed,7:00,16:30
23,FIP 250,Thu,16:30,18:30
15-Mar,ART 365,Mon;Wed,15:30,17:00
1,ART 102,Wed;Thu;Fri;Sat;Sun,7:00,22:00
9,ART 215,Mon,9:30,12:00
17,ART 281,Mon;Tue;Wed;Thu;Fri;Sat,7:00,14:00
20-25;27-33,ART 103,Mon;Wed,15:30,17:00
13,EME 1153,Thu,12:30,14:00
26,FIP 138,Wed,7:00,16:30
20-25;27-33,EME 0050,Tue;Thu,8:00,9:30
15-Mar,ASC 130,Tue;Thu,11:00,12:30
16-17,EME 2202,Fri,7:00,8:00
38,ART 204,Sat,10:00,12:00
2,ART 208,Mon,7:00,22:00
21-33,ART 112,Wed,15:30,17:00
9,ART 110,Wed,17:00,20:00
18,ART 382,Mon,16:30,21:00
34,ART 374,Wed,17:30,21:30
45,ART 386,Mon;Tue;Wed;Thu;Fri,7:00,22:00
20-25;27-33,SCI 247,Mon;Wed;Fri,12:30,13:30
16,ART 102,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
34-36,ART 218,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
34,ASC 130,Tue,8:30,12:30
15-Mar,EME 1151,Tue;Thu,9:30,11:00
20-25;27-33,EME 0050,Tue;Thu,8:00,9:30
16,ART 106,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
13,EME 2181,Fri,10:30,12:00
25,FIP 124,Mon,17:00,21:30
15-Mar,ART 108,Mon,11:30,12:30
25,ART 374,Mon,17:00,21:30
24,ART 102,Sat,10:00,15:00
1,FIP 121,Tue;Wed;Thu;Fri;Sat;Sun,8:00,20:00
15-Jun,FIP 124,Fri,14:00,16:00
15-Mar,SCI 126,Thu,12:30,13:30
11,FIP 129,Wed,19:30,22:00
6,SCI 247,Mon,14:30,16:30
34,FIP 140,Tue,8:30,12:30
22,ART 103,Sat,7:00,18:00
3,EME 1101,Sat,8:00,13:00
9,LIB L306,Mon,10:30,12:00
15-Mar,EME 1153,Tue;Thu,9:30,11:00
22-33,ART 103,Mon,13:30,14:30
15-Mar,ART 103,Wed;Fri,12:30,14:00
1,ART 218,Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,LIB L304,Mon,17:30,18:30
38,ART 203,Sat,16:30,17:30
15,ART 202,Tue,8:30,10:30
26,ART 106,Wed,10:00,14:00
20-25;27-33,SCI 333,Tue;Thu,14:00,15:30
16,ART 208,Fri,12:30,14:30
20-25;27-33,ART 106,Mon;Wed;Fri,9:30,10:30
26,FIP 129,Wed,7:00,16:30
25,ART 106,Mon,15:30,17:30
2,ART 104,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
29,ART 106,Sat,9:00,15:00
34-36,ART 102,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
1,ART 208,Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,EME 2181,Wed;Fri,12:30,14:00
51-52,LIB L305,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15,ART 103,Fri,9:30,11:30
15-Mar,ART 281,Mon;Wed;Fri,11:30,12:30
50,EME 2202,Mon;Tue;Wed;Thu;Fri,9:00,12:00
30-32,FIP 239,Mon,14:00,15:30
16;18,FIP 138,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
20-25;27-33,ART 108,Tue;Thu,15:30,17:00
34-36,EME 1153,Mon;Tue;Wed;Thu;Fri,7:00,22:00
34,ART 214,Mon,12:30,16:30
34-36,ART 102,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
16-17,ART 218,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
38,ART 110,Sat,12:00,12:30
5,FIP 250,Tue,17:00,19:30
14,ART 203,Sat,7:00,16:00
45;52,SCI 337,Mon;Tue;Wed;Thu;Fri,7:00,22:00
20-25;27-33,EME 1121,Thu,15:30,18:30
12,ART 215,Tue,14:00,15:30
15-Mar,EME 1202,Tue;Thu,11:00,12:30
27,ART 204,Sat,8:00,14:00
35,ART 203,Wed,8:30,12:30
34,ART 208,Mon,8:30,12:30
20-25;27-33,ASC 140,Mon;Wed;Fri,9:30,10:30
15-Mar,LIB L317,Tue;Thu,18:00,19:30
14,FIP 138,Sun,12:30,17:30
13,FIP 138,Sat,8:00,18:00
28,ART 103,Fri,16:30,20:00
34-36,ART 112,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
20-25;27-33,FIP 239,Tue;Thu,15:30,17:00
34-36,SCI 236,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,ART 102,Wed,9:30,10:30
34,ART 366,Mon,17:30,21:30
16,ART 104,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
13,ART 110,Fri,8:00,9:30
17-18,ART 281,Mon;Tue;Wed;Thu;Fri;Sat;Sun,15:00,17:00
37-50,LIB L306,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,FIP 204,Tue;Thu,14:00,15:30
35,FIP 204,Thu,8:30,12:30
1,FIP 121,Mon,8:00,20:00
16,LIB L302,Sun,8:00,20:00
27,SCI 128,Sat,9:00,17:00
36,FIP 121,Mon,8:30,12:30
17,ART 366,Mon;Tue;Wed;Sat,12:30,16:30
31,EME 1153,Sat,10:00,22:00
38,ART 204,Sat,14:00,16:30
37,ART 374,Fri,9:00,13:00
34-36,ART 202,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
20-25;27-33,FIP 133,Thu,16:30,18:30
17,LIB L306,Sat,12:30,16:30
1,ART 108,Tue,14:00,17:00
16,ART 214,Mon,14:30,16:30
16,ART 206,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
31,EME 1202,Tue,14:00,16:00
11,ART 208,Fri,9:00,10:30
20-25;27-33,SCI 247,Mon;Wed;Fri,12:30,13:30
11,ART 210,Fri,15:00,16:30
20-25;27-33,ART 210,Mon;Wed;Fri,10:30,11:30
13,ART 376,Fri,14:00,17:30
1,ART 110,Thu;Fri;Sat;Sun,7:00,22:00
34-36,ART 106,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
29,ART 112,Fri,15:00,16:30
20-25;27-33,ART 365,Tue;Thu,14:00,15:30
34,SCI 337,Thu,17:30,21:30
